Date,NASDAQ,KOSPI
2016/08/18,5240.15,2055.47
2016/08/19,5238.38,2056.24
2016/08/22,5244.6,2042.16
2016/08/23,5260.08,2049.93
2016/08/24,5217.69,2043.76
2016/08/25,5212.2,2042.92
2016/08/26,5218.92,2037.5
2016/08/29,5232.33,2032.35
2016/08/30,5222.99,2039.74
2016/08/31,5213.22,2034.65
2016/09/01,5227.21,2032.72
2016/09/02,5249.9,2038.31
2016/09/05,5249.9,2060.08
2016/09/06,5275.91,2066.53
2016/09/07,5283.93,2061.88
2016/09/08,5259.48,2063.73
2016/09/09,5125.91,2037.87
2016/09/12,5211.89,1991.48
2016/09/13,5155.26,1999.36
2016/09/14,5173.77,1999.36
2016/09/15,5249.69,1999.36
2016/09/16,5244.57,1999.36
2016/09/19,5235.03,2015.78
2016/09/20,5241.35,2025.71
2016/09/21,5295.18,2035.99
2016/09/22,5339.52,2049.7
2016/09/23,5305.75,2054.07
2016/09/26,5257.49,2047.11
2016/09/27,5305.71,2062.82
2016/09/28,5318.55,2053.06
2016/09/29,5269.15,2068.72
2016/09/30,5312.0,2043.63
2016/10/03,5300.87,2043.63
2016/10/04,5289.66,2054.86
2016/10/05,5316.02,2053.0
2016/10/06,5306.85,2065.3
2016/10/07,5292.4,2053.8
2016/10/10,5328.67,2056.82
2016/10/11,5246.79,2031.93
2016/10/12,5239.02,2033.73
2016/10/13,5213.33,2015.44
2016/10/14,5214.16,2022.66
2016/10/17,5199.82,2027.61
2016/10/18,5243.84,2040.43
2016/10/19,5246.41,2040.94
2016/10/20,5241.83,2040.6
2016/10/21,5257.4,2033.0
2016/10/24,5309.83,2047.74
2016/10/25,5283.4,2037.17
2016/10/26,5250.27,2013.89
2016/10/27,5215.97,2024.12
2016/10/28,5190.1,2019.42
2016/10/31,5189.14,2008.19
2016/11/01,5153.58,2007.39
2016/11/02,5105.57,1978.94
2016/11/03,5058.41,1983.8
2016/11/04,5046.37,1982.02
2016/11/07,5166.17,1997.58
2016/11/08,5193.49,2003.38
2016/11/09,5251.07,1958.38
2016/11/10,5208.8,2002.6
2016/11/11,5237.11,1984.43
2016/11/14,5218.4,1974.4
2016/11/15,5275.62,1967.53
2016/11/16,5294.58,1979.65
2016/11/17,5333.97,1980.55
2016/11/18,5321.51,1974.58
2016/11/21,5368.86,1966.05
2016/11/22,5386.35,1983.47
2016/11/23,5380.68,1987.95
2016/11/24,5380.68,1971.26
2016/11/25,5398.92,1974.46
2016/11/28,5368.81,1978.13
2016/11/29,5379.92,1978.39
2016/11/30,5323.68,1983.48
2016/12/01,5251.11,1983.75
2016/12/02,5255.65,1970.61
2016/12/05,5308.89,1963.36
2016/12/06,5333.0,1989.86
2016/12/07,5393.76,1991.89
2016/12/08,5417.36,2031.07
2016/12/09,5444.5,2024.69
2016/12/12,5412.54,2027.24
2016/12/13,5463.83,2035.98
2016/12/14,5436.67,2036.87
2016/12/15,5456.85,2036.65
2016/12/16,5437.16,2042.24
2016/12/19,5457.44,2038.39
2016/12/20,5483.94,2041.94
2016/12/21,5471.43,2037.96
2016/12/22,5447.42,2035.73
2016/12/23,5462.69,2035.9
2016/12/26,5462.69,2037.75
2016/12/27,5487.44,2042.17
2016/12/28,5438.56,2024.49
2016/12/29,5432.09,2026.46
2016/12/30,5383.12,2026.46
2017/01/02,5383.12,2026.16
2017/01/03,5429.08,2043.97
2017/01/04,5477.01,2045.64
2017/01/05,5487.94,2041.95
2017/01/06,5521.06,2049.12
2017/01/09,5531.82,2048.78
2017/01/10,5551.82,2045.12
2017/01/11,5563.65,2075.17
2017/01/12,5547.49,2087.14
2017/01/13,5574.12,2076.79
2017/01/16,5574.12,2064.17
2017/01/17,5538.73,2071.87
2017/01/18,5555.65,2070.54
2017/01/19,5540.08,2072.79
2017/01/20,5555.33,2065.61
2017/01/23,5552.94,2065.99
2017/01/24,5600.96,2065.76
2017/01/25,5656.34,2066.94
2017/01/26,5655.18,2083.59
2017/01/27,5660.78,2083.59
2017/01/30,5613.71,2083.59
2017/01/31,5614.79,2067.57
2017/02/01,5642.65,2080.48
2017/02/02,5636.2,2071.01
2017/02/03,5666.77,2073.16
2017/02/06,5663.55,2077.66
2017/02/07,5674.22,2075.21
2017/02/08,5682.45,2065.08
2017/02/09,5715.18,2065.88
2017/02/10,5734.13,2075.08
2017/02/13,5763.96,2078.65
2017/02/14,5782.57,2074.57
2017/02/15,5819.44,2083.86
2017/02/16,5814.9,2081.84
2017/02/17,5838.58,2080.58
2017/02/20,5838.58,2084.39
2017/02/21,5865.95,2102.93
2017/02/22,5860.63,2106.61
2017/02/23,5835.51,2107.63
2017/02/24,5845.31,2094.12
2017/02/27,5861.9,2085.52
2017/02/28,5825.44,2091.64
2017/03/01,5904.03,2091.64
2017/03/02,5861.22,2102.65
2017/03/03,5870.75,2078.75
2017/03/06,5849.18,2081.36
2017/03/07,5833.93,2094.05
2017/03/08,5837.55,2095.41
2017/03/09,5838.81,2091.06
2017/03/10,5861.73,2097.35
2017/03/13,5875.78,2117.59
2017/03/14,5856.82,2133.78
2017/03/15,5900.05,2133.0
2017/03/16,5900.76,2150.08
2017/03/17,5901.0,2164.58
